,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,total_spent,parent,total_accepted_coupons,number_of_total_purchases
0,Graduate,Single,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,66,1617,0,0,25
1,Graduate,Single,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,69,27,2,0,6
2,Graduate,In Relationship,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,58,776,0,0,21
3,Graduate,In Relationship,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,39,53,1,0,8
4,Post Graduate,In Relationship,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,42,422,1,0,19
5,Post Graduate,In Relationship,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,56,716,1,0,22
6,Graduate,Single,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,52,590,1,0,21
7,Post Graduate,In Relationship,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,38,169,1,0,10
8,Post Graduate,In Relationship,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,49,46,1,0,6
9,Post Graduate,In Relationship,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,73,49,2,1,2
10,Graduate,In Relationship,52247.25135379061,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,40,19,1,0,4
11,Under Graduate,In Relationship,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,47,61,0,0,6
12,Graduate,Single,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,64,1102,0,0,16
13,Post Graduate,Single,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,71,310,2,0,15
14,Graduate,In Relationship,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,36,46,0,0,5
15,Post Graduate,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,77,1315,0,2,26
16,Graduate,In Relationship,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,43,96,2,0,9
17,Graduate,In Relationship,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,77,317,0,0,13
18,Post Graduate,In Relationship,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,74,1782,1,1,26
19,Under Graduate,Single,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,38,133,1,0,8
20,Graduate,In Relationship,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,41,316,0,0,12
21,Graduate,In Relationship,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,44,1730,1,0,43
22,Post Graduate,In Relationship,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,74,972,1,1,17
23,Post Graduate,In Relationship,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,69,544,1,0,20
24,Graduate,In Relationship,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,72,444,1,0,20
25,Graduate,Single,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,54,75,0,0,8
26,Graduate,In Relationship,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,47,257,2,0,14
27,Graduate,Single,52247.25135379061,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,37,637,1,0,27
28,Graduate,In Relationship,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,34,131,1,0,9
29,Post Graduate,In Relationship,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,58,1672,0,1,26
30,Post Graduate,Single,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,34,30,0,0,8
31,Post Graduate,In Relationship,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,60,318,0,0,11
32,Graduate,In Relationship,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,53,120,1,1,9
33,Post Graduate,Single,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,71,302,2,0,17
34,Post Graduate,In Relationship,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,77,1196,0,0,18
35,Post Graduate,Single,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,72,65,2,0,6
36,Post Graduate,In Relationship,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,53,913,1,0,28
37,Under Graduate,In Relationship,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,47,81,1,0,9
38,Graduate,Single,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,50,67,1,0,7
39,Post Graduate,Single,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,80,902,0,1,24
40,Graduate,In Relationship,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,43,1395,1,0,21
41,Post Graduate,In Relationship,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,38,53,1,0,7
42,Graduate,In Relationship,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,66,22,1,0,4
43,Post Graduate,Single,52247.25135379061,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,64,186,0,0,9
44,Post Graduate,In Relationship,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,48,31,1,0,8
45,Graduate,Single,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,47,984,0,0,16
46,Under Graduate,In Relationship,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,27,122,0,0,10
47,Graduate,In Relationship,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,55,1,0,5
48,Graduate,Single,52247.25135379061,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,72,124,3,0,10
49,Post Graduate,In Relationship,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,69,1319,2,0,28
50,Graduate,Single,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,66,507,1,0,17
51,Post Graduate,In Relationship,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,59,1693,0,0,29
52,Graduate,Single,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,46,72,1,0,7
53,Graduate,Single,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,46,1617,0,2,21
54,Graduate,In Relationship,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,45,606,2,0,23
55,Post Graduate,In Relationship,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,68,1957,0,1,27
56,Graduate,Single,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,57,1093,0,0,21
57,Graduate,Single,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,35,29,1,0,6
58,Graduate,Single,52247.25135379061,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,41,46,1,0,7
59,Post Graduate,In Relationship,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,55,518,1,0,19
60,Post Graduate,Single,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,41,1438,0,2,21
61,Graduate,In Relationship,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,48,612,2,0,22
62,Graduate,Single,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,71,884,1,0,24
63,Post Graduate,Single,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,72,606,1,0,19
64,Graduate,In Relationship,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,75,1076,0,0,16
65,Graduate,In Relationship,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,52,34,1,0,5
66,Graduate,In Relationship,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,56,11,2,0,4
